date,congestion,diffRatio
5/8/20,27,-0.289473684
6/8/20,27,-0.307692308
7/8/20,28,-0.263157895
8/8/20,19,-0.321428571
9/8/20,14,-0.391304348
10/8/20,26,-0.212121212
11/8/20,26,-0.297297297
12/8/20,26,-0.315789474
13/8/20,30,-0.230769231
14/8/20,36,-0.052631579
15/8/20,22,-0.214285714
16/8/20,14,-0.391304348
17/8/20,27,-0.181818182
18/8/20,29,-0.216216216
19/8/20,32,-0.157894737
20/8/20,30,-0.230769231
21/8/20,31,-0.184210526
22/8/20,24,-0.142857143
23/8/20,16,-0.304347826
24/8/20,27,-0.181818182
25/8/20,29,-0.216216216
26/8/20,31,-0.184210526
27/8/20,35,-0.102564103
28/8/20,38,0
29/8/20,25,-0.107142857
30/8/20,17,-0.260869565
31/8/20,17,-0.484848485
1/9/20,33,-0.108108108
2/9/20,34,-0.105263158
3/9/20,34,-0.128205128
4/9/20,39,0.026315789
5/9/20,26,-0.071428571
6/9/20,18,-0.217391304
7/9/20,33,0
8/9/20,36,-0.027027027
9/9/20,39,0.026315789
10/9/20,41,0.051282051
11/9/20,40,0.052631579
12/9/20,26,-0.071428571
13/9/20,20,-0.130434783
14/9/20,35,0.060606061
15/9/20,38,0.027027027
16/9/20,37,-0.026315789
17/9/20,40,0.025641026
18/9/20,41,0.078947368
19/9/20,27,-0.035714286
20/9/20,18,-0.217391304
21/9/20,34,0.03030303
22/9/20,38,0.027027027
23/9/20,39,0.026315789
24/9/20,39,0
25/9/20,46,0.210526316
26/9/20,28,0
27/9/20,16,-0.304347826
28/9/20,31,-0.060606061
29/9/20,38,0.027027027
30/9/20,39,0.026315789
1/10/20,37,-0.051282051
2/10/20,47,0.236842105
3/10/20,27,-0.035714286
4/10/20,16,-0.304347826
5/10/20,35,0.060606061
6/10/20,37,0
7/10/20,36,-0.052631579
8/10/20,37,-0.051282051
9/10/20,42,0.105263158
10/10/20,27,-0.035714286
11/10/20,18,-0.217391304
12/10/20,35,0.060606061
13/10/20,40,0.081081081
14/10/20,39,0.026315789
15/10/20,42,0.076923077
16/10/20,41,0.078947368
17/10/20,22,-0.214285714
18/10/20,15,-0.347826087
19/10/20,28,-0.151515152
20/10/20,34,-0.081081081
21/10/20,36,-0.052631579
22/10/20,33,-0.153846154
23/10/20,36,-0.052631579
24/10/20,25,-0.107142857
25/10/20,18,-0.217391304
26/10/20,30,-0.090909091
27/10/20,32,-0.135135135
28/10/20,34,-0.105263158
29/10/20,33,-0.153846154
30/10/20,38,0
31/10/20,28,0
1/11/20,21,-0.086956522
2/11/20,41,0.242424242
3/11/20,51,0.378378378
4/11/20,59,0.552631579
5/11/20,26,-0.333333333
6/11/20,25,-0.342105263
7/11/20,15,-0.464285714
8/11/20,9,-0.608695652
9/11/20,28,-0.151515152
10/11/20,28,-0.243243243
11/11/20,30,-0.210526316
12/11/20,28,-0.282051282
13/11/20,27,-0.289473684
14/11/20,16,-0.428571429
15/11/20,11,-0.52173913
