,duration,city,suburb,city_suburb,total,mean_duration,median_duration,max_duration,_5,6_10,11_15,16_20,21_25,26_30,31_40,41_50,51_60,61_120,120_
2020-05-13,534789.0,2836,8692,4704,16599,32.21814567142599,19.0,7753.0,1197,2560,2684,2678,2279,1504,1073,542,362,880,473
2020-05-14,666995.0,3381,10756,5616,20165,33.07686585668237,19.0,6235.0,1344,2946,3297,3162,2772,1765,1282,704,495,1269,717
2020-05-15,1039723.0,4376,15479,7535,27923,37.23536152992157,20.0,5941.0,1657,3655,4300,4427,3893,2552,1864,1060,703,1850,1429
2020-05-16,2009334.0,6623,25629,12366,45561,44.102060973200764,24.0,4783.0,1929,4122,5649,6412,6669,4693,3966,2212,1584,3944,3438
2020-05-17,2399773.0,7877,28445,13301,50629,47.3991783365265,25.0,3101.0,1851,4072,5679,6912,7387,5585,4444,2526,1759,4930,4478
2020-05-18,1023904.0,4642,16325,7632,29129,35.15067458546466,20.0,1818.0,1670,3940,4443,4646,4152,2718,1865,1097,712,1966,1390
2020-05-19,1217111.0,5596,19409,8960,34678,35.09749697214372,20.0,1383.0,1918,4426,5287,5345,4929,3213,2329,1370,886,2355,1907
2020-05-20,1802589.0,6625,23535,11265,42143,42.77315331134471,21.0,8534.0,2143,4946,6075,6540,5959,4069,3077,1590,1123,3018,2885
2020-05-21,1393006.0,5807,19655,9501,35621,39.106313691361834,20.0,7033.0,2047,4570,5481,5726,4937,3204,2411,1265,900,2447,1975
2020-05-22,1344607.0,5701,19714,10183,36321,37.02009856556813,20.0,5379.0,2118,4826,5532,5600,5008,3328,2565,1395,1009,2414,1803
2020-05-23,1663737.0,5895,22822,10760,40131,41.45765119234507,22.0,4120.0,2009,4391,5334,5758,5670,4029,3355,1884,1271,3146,2630
2020-05-24,2572027.0,8457,30667,14965,55045,46.72589699336906,24.0,3377.0,2066,4524,6400,7684,8119,5849,4970,2974,1999,4943,4561
2020-05-25,3328596.0,9925,37776,17014,65924,50.491414355925,25.0,2462.0,2388,5186,7503,8838,9384,7094,5876,3415,2407,6024,6600
2020-05-26,1372390.0,6345,20486,9944,37483,36.613664861403834,21.0,1321.0,2141,4580,5423,5731,5255,3664,2712,1470,1005,2569,2225
2020-05-27,1451552.0,6457,20454,10078,37714,38.48841279100599,21.0,8825.0,2140,4665,5675,5864,5311,3418,2668,1516,966,2571,2195
2020-05-28,1510504.0,6721,21965,10683,40077,37.690046660179156,20.0,7870.0,2264,5179,6126,6136,5644,3842,2815,1372,1014,2747,2230
2020-05-29,1782923.0,7507,24643,11919,44931,39.68135585675814,21.0,6216.0,2551,5658,6659,6829,6152,4073,3349,1720,1163,3140,2775
2020-05-30,3448129.0,10857,38502,18367,69032,49.94971897091204,25.0,4623.0,2637,5701,7709,9183,9899,7296,6428,3876,2576,6190,6231
2020-05-31,2971021.0,10078,34399,16234,62001,47.91892066256996,25.0,3019.0,2469,5110,7039,8308,8858,6487,5691,3328,2228,5693,5500
2020-06-01,1382176.0,6332,20302,10433,37792,36.57324301439458,20.0,2115.0,2147,4991,5871,5855,5296,3529,2629,1328,943,2469,2009
2020-06-02,1569458.0,7521,24004,11998,44410,35.34019365007881,20.0,855.0,2283,5801,6779,6951,6234,4142,3135,1677,1126,2882,2513
2020-06-03,944825.0,5477,13010,9287,28425,33.23922603342128,19.0,8348.0,1925,4225,4617,4460,3762,2546,2022,1155,652,1464,946
2020-06-04,798068.0,4955,13701,8111,27395,29.131885380543896,18.0,6182.0,2050,4358,4777,4393,3818,2351,1649,767,512,1230,862
2020-06-05,862972.0,4854,14577,8180,28159,30.646400795482794,18.0,4686.0,2067,4483,4859,4598,3755,2291,1788,939,636,1316,879
2020-06-06,951884.0,4607,12656,9212,27293,34.876488476898835,21.0,4060.0,1609,3437,3832,3948,3655,2549,2520,1434,842,1676,973
2020-06-07,1492200.0,6282,20099,11204,38597,38.6610358318004,23.0,3438.0,1802,3905,5120,5534,5546,3930,3481,1968,1341,3080,1878
2020-06-08,815977.0,5006,14425,8343,28414,28.717428028436686,18.0,1704.0,1911,4338,4842,4655,4049,2483,1840,895,603,1340,818
2020-06-09,1078438.0,6183,18496,10326,35868,30.066856250697,19.0,829.0,2092,5050,5878,5910,5090,3336,2378,1176,840,1921,1334
2020-06-10,447585.0,3085,7989,5316,16734,26.7470419505199,16.0,7702.0,1421,3113,3258,2803,2143,1311,821,429,246,547,298
2020-06-11,683032.0,4318,12164,7374,24369,28.02872501949198,17.0,7192.0,1839,4149,4508,4013,3294,1999,1484,677,428,976,489
2020-06-12,722644.0,4743,13315,7979,26593,27.17421877937803,17.0,4530.0,2022,4553,4699,4379,3541,2189,1582,791,464,1137,680
2020-06-13,2789419.0,10341,34863,17605,63994,43.588758321092605,24.0,3683.0,2611,5882,7859,9080,9144,6871,5941,3416,2346,5246,4413
2020-06-14,2402231.0,8522,32033,14941,56622,42.425753240789795,23.0,3359.0,2290,5215,7073,8231,8336,6117,5062,2779,1879,4593,3921
2020-06-15,1118910.0,6956,18392,11241,37420,29.901389631213256,19.0,2084.0,2367,5359,6299,6261,5441,3384,2537,1145,733,1832,1231
2020-06-16,981446.0,6429,18505,11111,36871,26.618372162404057,18.0,966.0,2330,5669,6483,6357,5296,3159,2240,1179,675,1753,904
2020-06-17,706937.0,4605,12834,8100,26150,27.033919694072658,17.0,8755.0,1942,4620,4952,4479,3466,2050,1525,706,417,924,458
2020-06-18,679142.0,4453,12557,7674,25307,26.836132295412337,17.0,5118.0,1898,4272,4643,4160,3575,2112,1382,702,453,999,488
2020-06-19,1005352.0,5979,18108,11159,36030,27.903191784623925,18.0,5834.0,2479,5849,6395,6157,4888,3102,2238,1051,650,1467,970
2020-06-20,2445895.0,10229,33430,18078,63048,38.794172693820585,22.0,4733.0,2903,6381,8707,9675,9390,6632,5541,3194,1889,4140,3285
2020-06-21,1556436.0,6944,24344,12629,44826,34.721723999464594,21.0,3229.0,2045,5157,6606,7020,6855,4621,3560,1902,1209,3033,1909
2020-06-22,1308488.0,7704,21390,12292,42331,30.910869103021426,19.0,1987.0,2511,6185,7122,7106,5931,3846,2761,1384,898,2141,1501
2020-06-23,1390988.0,8454,23916,13742,47095,29.535789361928018,19.0,963.0,2690,6721,7974,7731,6596,4381,3268,1658,1066,2314,1713
2020-06-24,1770604.0,9549,25959,14795,51287,34.52344648741396,19.0,8690.0,2950,7223,8727,8181,7096,4624,3578,1823,1156,2716,2229
2020-06-25,1873287.0,9454,26214,14796,51518,36.36179587716914,20.0,6914.0,2904,7135,8528,8198,7172,4634,3635,1702,1136,2816,2604
2020-06-26,1674631.0,9025,25427,14788,50201,33.35851875460648,19.0,4931.0,2858,6849,8381,8218,6804,4631,3599,1923,1214,2623,2140
2020-06-27,1342887.0,7131,21033,11615,40701,32.99395592245891,20.0,4284.0,2278,5253,6432,6587,5706,3815,3131,1672,1069,2303,1533
2020-06-28,1372004.0,7279,21334,12009,41483,33.0738856881132,21.0,3234.0,2101,4874,6118,6711,6206,4110,3290,1774,1233,2543,1662
2020-06-29,787208.0,6224,15382,9759,32059,24.554976761595807,17.0,2388.0,2352,5325,5909,5495,4530,2729,1858,881,519,1198,569
2020-06-30,615727.0,5430,13154,8868,28080,21.927599715099714,16.0,1209.0,2200,5095,5490,4929,3725,2202,1560,679,390,792,390
2020-07-01,775496.0,5890,14455,9964,30976,25.03538223140496,17.0,5978.0,2312,5365,5851,5433,4189,2490,1747,867,473,1023,559
2020-07-02,659935.0,5301,12941,8719,27566,23.940179931800042,16.0,6673.0,2184,5103,5353,4734,3810,2100,1462,649,365,772,429
2020-07-03,988865.0,7037,17777,11309,36823,26.854547429595634,17.0,5779.0,2696,6074,6730,6321,5120,3184,2210,1092,645,1293,758
2020-07-04,1164464.0,7340,20622,12701,41499,28.060049639750357,19.0,4418.0,2545,5819,7117,7094,6000,3861,3016,1537,1014,1753,907
2020-07-05,1452244.0,8127,23988,13410,46462,31.25659678877362,20.0,2901.0,2289,5575,7390,7542,7073,4600,3646,1962,1305,2645,1498
2020-07-06,795294.0,6551,15499,10452,33185,23.965466325146902,17.0,1930.0,2524,5755,6293,5737,4561,2725,1858,916,527,1094,512
2020-07-07,696855.0,6388,14210,10419,31688,21.991132289825803,17.0,718.0,2494,5664,6096,5451,4369,2610,1751,781,472,886,443
2020-07-08,485793.0,4213,10240,7070,22033,22.048427358961558,15.0,7378.0,1979,4481,4556,3685,2786,1585,1085,455,226,482,203
2020-07-09,563969.0,5078,11582,8498,25771,21.883861705017267,15.0,5953.0,2292,4979,5335,4521,3234,1925,1248,545,296,558,225
2020-07-10,957704.0,7477,17609,11813,37631,25.44986845951476,17.0,6142.0,2726,6404,7114,6451,5284,3244,2326,1014,535,1206,595
2020-07-11,1535743.0,9693,24743,15222,50569,30.369257845715754,20.0,3416.0,2795,6200,7882,8316,7657,5134,4150,2143,1289,2663,1429
2020-07-12,1602208.0,8745,24828,14392,48852,32.79718332923934,21.0,3368.0,2465,5911,7544,7943,7322,4942,3891,1910,1268,2900,1869
2020-07-13,861794.0,6761,16164,11101,34807,24.759215100410838,17.0,2167.0,2620,5799,6562,5941,4916,2949,2042,900,538,1114,645
2020-07-14,763454.0,6954,15842,10964,34484,22.139368982716622,17.0,1238.0,2648,6093,6563,6125,4756,2919,1923,785,482,1004,462
2020-07-15,796826.0,6931,14963,10978,33703,23.642583746254044,16.0,8565.0,2630,6289,6399,5933,4551,2611,1845,783,453,935,443
2020-07-16,876684.0,7432,16761,11913,36904,23.755798829395186,17.0,4104.0,2691,6646,7063,6371,5073,3017,2085,921,598,1077,564
2020-07-17,1244948.0,9268,21671,14157,46044,27.038224307184432,18.0,4354.0,3140,7361,8205,7834,6438,4032,3148,1329,879,1662,1068
2020-07-18,1769768.0,10845,27418,16474,55809,31.711157698579083,20.0,5270.0,2961,6980,8800,9095,8510,5641,4418,2230,1400,2881,1821
2020-07-19,966001.0,6634,16495,9640,33479,28.853938289674122,19.0,3968.0,2100,4737,5806,5577,4894,3102,2261,1084,750,1627,831
2020-07-20,982155.0,7898,18374,11729,38753,25.343973369803628,17.0,1994.0,2749,6452,7144,6588,5425,3346,2356,1056,686,1371,828
2020-07-21,922007.0,8272,17989,12465,39642,23.25833711719893,17.0,959.0,2738,6764,7530,6700,5627,3340,2401,999,692,1305,630
2020-07-22,1044859.0,8267,18751,13077,40998,25.4856090541002,17.0,8138.0,2910,6868,7703,7238,5682,3480,2365,1058,618,1369,804
2020-07-23,972512.0,8338,17527,12861,39595,24.561485035989392,17.0,7603.0,2724,6793,7691,6932,5466,3334,2226,1024,618,1273,645
2020-07-24,1046044.0,8666,18007,12719,40360,25.917839444995046,17.0,6487.0,2790,6708,7578,6879,5733,3488,2443,1098,693,1287,695
2020-07-25,595441.0,4529,11736,7672,24492,24.31165278458272,17.0,5171.0,2034,4303,4532,4109,3231,1934,1573,716,408,759,338
2020-07-26,962573.0,6209,16658,10231,33701,28.562149491113022,19.0,3515.0,2161,4919,5690,5575,4956,3110,2318,1209,763,1581,816
2020-07-27,489856.0,4893,10607,7534,23574,20.779502842114194,15.0,1910.0,2207,4961,4622,3942,2918,1707,1113,448,295,577,244
2020-07-28,798589.0,7927,16628,11759,37155,21.493446373301037,16.0,1112.0,3093,6660,7287,6404,5011,2950,1967,883,521,1085,453
2020-07-29,1006695.0,8326,18271,13215,40591,24.800941095316695,17.0,8712.0,3110,7223,7824,6974,5529,3243,2288,1047,615,1280,679
2020-07-30,1076274.0,8952,19235,13470,42509,25.318732503705096,17.0,7170.0,3219,7478,7862,7235,5745,3473,2586,1086,669,1451,853
2020-07-31,1175297.0,9089,19394,13283,42656,27.552911665416353,17.0,6058.0,3097,7250,7759,6875,5767,3535,2759,1301,745,1579,1099
2020-08-01,1474593.0,10014,22817,15036,48870,30.17378759975445,20.0,4899.0,2823,6721,7742,7992,7011,4824,3811,1897,1175,2487,1384
2020-08-02,1308812.0,8856,20799,12993,43451,30.121562219511635,20.0,2766.0,2520,5961,6893,7196,6163,4371,3222,1637,993,2393,1299
2020-08-03,835929.0,7699,16388,11488,36313,23.020102993418334,16.0,1655.0,2989,6716,7160,6115,4707,2879,1898,901,544,1149,517
2020-08-04,880542.0,8577,18029,13181,40597,21.68982929773136,16.0,1187.0,3312,7486,7760,6988,5444,3292,2183,958,638,1265,461
2020-08-05,1024876.0,9001,18493,13814,42153,24.313239864303846,17.0,9433.0,3273,7514,8344,7207,5733,3416,2260,1039,656,1194,672
2020-08-06,980598.0,8912,17828,12990,40644,24.126513138470624,16.0,7501.0,3148,7338,7881,6922,5445,3204,2213,1023,594,1296,666
2020-08-07,1139539.0,9043,19686,13213,42749,26.656506584949355,17.0,5574.0,3275,7430,8129,7149,5664,3386,2566,1170,729,1490,954
2020-08-08,1370100.0,9874,22216,13898,46942,29.18708193089344,19.0,4374.0,2895,6818,7904,7911,6508,4376,3374,1773,1029,2160,1240
2020-08-09,1302446.0,8731,21747,12803,44027,29.58289231607877,19.0,2782.0,2594,5951,7343,7440,6508,4068,3109,1606,1067,2274,1321
2020-08-10,927967.0,8630,17652,12350,39476,23.50711824906272,16.0,2193.0,3122,7126,7624,6733,5215,3239,2135,922,650,1253,613
2020-08-11,923715.0,8953,18885,13374,42086,21.948272584707503,16.0,1048.0,3347,7715,8205,7245,5588,3444,2312,1032,600,1133,591
2020-08-12,990816.0,9276,17950,13396,41424,23.918887601390498,16.0,9157.0,3371,7836,7912,7205,5583,3145,2175,1020,611,1183,581
2020-08-13,748918.0,7226,14843,11019,33835,22.134417023791933,15.0,4293.0,3009,6930,6819,5622,4262,2376,1671,683,453,846,417
2020-08-14,640672.0,6078,13526,9596,29903,21.425007524328663,15.0,6205.0,2905,6304,6007,4912,3711,2029,1408,618,353,633,320
2020-08-15,755356.0,6088,14404,9298,30413,24.83661592082333,17.0,5248.0,2448,5265,5575,4895,3996,2505,1945,967,577,1126,491
2020-08-16,870897.0,6351,15634,9560,32274,26.984476668525748,18.0,3394.0,2272,5188,5826,5291,4401,2772,2066,951,648,1440,690
2020-08-17,675142.0,7166,13565,10260,31651,21.330826830115953,15.0,2412.0,2829,6472,6495,5355,4044,2201,1507,657,385,693,353
2020-08-18,802854.0,8492,16808,12695,38874,20.652724185831147,16.0,1313.0,3351,7500,7841,6626,5063,2927,1928,826,534,988,411
2020-08-19,385520.0,4356,8521,7061,20438,18.862902436637636,14.0,8680.0,2195,4847,4429,3303,2340,1293,712,263,137,314,105
2020-08-20,1046652.0,9453,18607,13344,42359,24.709081895228877,16.0,6773.0,3361,7850,8327,7035,5694,3264,2236,1050,606,1313,668
2020-08-21,768587.0,7610,15591,11167,35081,21.908925059148828,15.0,4376.0,3226,7117,7005,5776,4435,2566,1744,740,451,918,390
2020-08-22,1177085.0,9515,20496,13078,43985,26.761054905081277,18.0,5166.0,3023,6634,7657,7253,6170,3959,3144,1537,971,1877,864
2020-08-23,1019075.0,7430,17689,10892,36746,27.732950525227235,18.0,3346.0,2656,5798,6164,5788,5062,3259,2514,1323,807,1792,848
2020-08-24,646278.0,7158,13075,10277,31218,20.70209494522391,15.0,1615.0,3071,6600,6240,5035,3842,2138,1494,627,379,753,331
2020-08-25,484005.0,6333,11222,8521,26721,18.11328168855956,14.0,1134.0,2884,5955,5477,4458,3121,1678,1113,458,269,528,135
2020-08-26,905593.0,9562,16770,13394,40662,22.2712360434804,16.0,8240.0,3481,7879,8033,6930,5310,3055,2044,891,598,1052,453
2020-08-27,456487.0,5208,9988,7791,23497,19.42745882453079,14.0,5355.0,2625,5362,4762,3868,2695,1508,932,389,230,418,198
2020-08-28,562993.0,5938,12094,8766,27368,20.571214557147034,14.0,4956.0,2989,5960,5680,4389,3118,1817,1197,524,280,572,272
2020-08-29,720654.0,6292,12839,8838,28660,25.144940683879973,16.0,4403.0,2482,5287,5366,4556,3656,2228,1599,848,479,1031,437
2020-08-30,1021816.0,8198,15743,10093,34723,29.427641620827693,19.0,3348.0,2341,5097,5755,5504,4918,3126,2448,1282,759,1916,888
2020-08-31,1053631.0,9505,17233,11646,39293,26.814725269131905,18.0,2484.0,2824,6046,6533,6444,5448,3500,2585,1446,847,1833,878
2020-09-01,746978.0,8174,14978,11822,35863,20.82865348688063,16.0,791.0,3284,6997,7205,5892,4473,2714,1741,831,497,888,452
2020-09-02,673618.0,7203,12912,10499,31369,21.47400299658899,15.0,9073.0,3102,6719,6565,5156,3732,2094,1305,571,341,689,340
2020-09-03,788141.0,6900,12461,10417,30452,25.88141993957704,14.0,7556.0,3059,6707,6471,5017,3514,2008,1261,532,335,594,280
2020-09-04,758051.0,7784,15096,11808,35549,21.32411600888914,15.0,5558.0,3257,7409,7362,5868,4295,2540,1642,715,420,787,393
2020-09-05,1146546.0,8749,19783,12617,42046,27.26884840412881,18.0,4304.0,3140,6542,7319,6983,5816,3721,2850,1255,883,1721,919
2020-09-06,1083780.0,8005,18916,11599,39424,27.4903612012987,18.0,3761.0,2763,6027,6778,6367,5409,3564,2664,1360,890,1821,877
2020-09-07,646501.0,7220,13152,11343,32494,19.896011571367023,15.0,2064.0,2968,6702,6908,5555,3881,2318,1472,671,291,682,267
2020-09-08,732686.0,8210,15654,13001,37769,19.39913685827001,15.0,1144.0,3312,7878,7908,6474,4630,2700,1775,741,418,742,287
2020-09-09,813277.0,8819,15566,13621,38962,20.87359478466198,15.0,6758.0,3569,8146,8080,6571,4864,2778,1850,739,390,682,337
2020-09-10,824900.0,8830,16250,13805,39807,20.722485994925517,15.0,7211.0,3381,8302,8309,6832,5049,2869,1839,791,387,782,344
2020-09-11,772174.0,8192,16184,12635,37908,20.36968449931413,15.0,4675.0,3629,8054,7830,6290,4620,2567,1715,743,377,801,385
2020-09-12,1275271.0,9645,21624,14675,46931,27.17331827576655,18.0,4690.0,3331,7513,8253,7652,6418,4116,3267,1563,909,1971,951
2020-09-13,1366537.0,9299,22713,13458,46453,29.417626418100014,19.0,3251.0,3064,6540,7533,7472,6582,4344,3343,1729,1128,2369,1366
2020-09-14,669883.0,6618,12869,10541,30737,21.794026743013305,15.0,1930.0,2845,6265,6205,5144,3835,2109,1555,690,329,705,346
2020-09-15,882696.0,9001,17991,14630,42720,20.6623595505618,16.0,873.0,3447,8392,8820,7402,5331,3093,2304,895,502,975,461
2020-09-16,941470.0,9314,17403,15099,42794,22.00004673552367,15.0,7104.0,3703,8739,8659,7343,5341,3211,2234,861,434,835,456
2020-09-17,878089.0,9108,17009,14348,41488,21.164891052834555,15.0,7136.0,3867,8450,8754,7000,5075,2888,2046,805,398,806,376
2020-09-18,914859.0,8897,17659,14069,41597,21.993388946318245,15.0,5999.0,3722,8670,8559,6815,5173,2959,2099,816,513,894,405
2020-09-19,1456933.0,10946,23423,15550,51025,28.553317001469868,19.0,4600.0,3302,7604,8851,8354,7043,4682,3649,1810,1140,2228,1256
2020-09-20,1369303.0,9345,22714,13991,47110,29.06607938866483,19.0,4089.0,3008,6894,7772,7454,6774,4302,3417,1622,1135,2391,1281
2020-09-21,789642.0,8296,16093,12974,38299,20.617822919658476,15.0,1550.0,3428,7783,8047,6558,4679,2717,1811,747,412,811,370
2020-09-22,891701.0,9895,18632,15600,45280,19.69304328621908,15.0,1056.0,4010,9158,9268,7773,5780,3220,2161,897,509,983,368
2020-09-23,577979.0,6727,11990,10870,30334,19.05383398167073,14.0,7383.0,3292,7160,6710,5181,3392,1770,1060,389,176,290,167
2020-09-24,614922.0,7203,13080,11477,32603,18.86090237094746,14.0,5979.0,3607,7471,7150,5433,3740,1824,1201,468,239,415,212
2020-09-25,603543.0,6618,13040,10014,30449,19.821439127721764,14.0,5476.0,3466,7018,6411,4951,3342,1823,1227,447,263,515,209
2020-09-26,776839.0,7324,15592,10229,33871,22.935224823595405,16.0,3191.0,3014,6317,6428,5541,4191,2759,1933,874,570,1074,444
2020-09-27,608219.0,5003,12798,7946,26326,23.10335789713591,16.0,3067.0,2465,5134,4870,4070,3468,2052,1469,676,385,793,365
2020-09-28,626814.0,6896,13777,11274,32766,19.13001281816517,14.0,1962.0,3340,7339,7037,5330,3969,2010,1283,543,304,530,262
2020-09-29,544536.0,6647,13372,10743,31588,17.238698239837912,14.0,686.0,3347,7236,6754,5333,3661,1972,1239,423,230,410,157
2020-09-30,471717.0,5808,10937,9408,26883,17.547037161031135,13.0,6979.0,3105,6648,5962,4319,2902,1495,905,286,142,259,130
2020-10-01,656040.0,7192,14211,11704,33999,19.2958616429895,14.0,6712.0,3451,7833,7372,5690,3938,2129,1303,506,240,438,207
2020-10-02,188885.0,2452,5418,3900,12044,15.682912653603454,12.0,5597.0,1781,3403,2661,1697,1029,561,318,127,54,82,57
2020-10-03,477561.0,4588,10140,6364,21596,22.11340062974625,15.0,4349.0,2273,4591,4349,3339,2458,1521,1047,485,262,542,225
2020-10-04,158048.0,1612,4388,2470,8649,18.27355763672101,12.0,2823.0,1298,2322,1751,1226,744,412,281,118,67,163,88
2020-10-05,446084.0,5433,10869,8437,25383,17.57412441397786,13.0,1749.0,2927,6281,5625,4015,2665,1429,831,337,174,307,148
2020-10-06,501989.0,6419,12570,10424,30268,16.58480903924937,13.0,764.0,3349,7267,6707,4817,3437,1783,1068,383,184,287,131
2020-10-07,637635.0,7204,14051,11704,33818,18.85489975752558,14.0,8716.0,3572,7762,7251,5678,3788,2165,1259,496,313,456,219
2020-10-08,508353.0,6345,11895,9797,28840,17.626664355062413,13.0,7105.0,3275,6996,6360,4695,3121,1619,976,372,175,316,132
2020-10-09,545735.0,5990,12456,9751,29028,18.800296265674522,13.0,6070.0,3457,6897,6180,4655,3115,1636,1072,432,177,428,148
2020-10-10,804953.0,7374,15602,10558,34351,23.43317516229513,16.0,3813.0,3200,6492,6531,5506,4143,2657,1996,969,509,1116,415
2020-10-11,839310.0,6701,16252,10045,33626,24.960149884018318,17.0,3163.0,2742,5844,6093,5451,4521,2736,1985,991,734,1351,550
2020-10-12,348365.0,4486,8627,7397,21067,16.536051644752458,13.0,1688.0,2509,5437,4711,3358,2127,1095,656,251,115,163,88
2020-10-13,316096.0,4525,8296,7239,20658,15.301384451544196,13.0,786.0,2603,5263,4705,3216,2069,1067,603,210,107,167,50
2020-10-14,530329.0,6263,12031,10154,29237,18.138967746348804,14.0,5939.0,3341,6853,6315,4815,3225,1753,1068,373,210,346,149
2020-10-15,514670.0,6553,12193,10236,29777,17.284145481411826,13.0,3753.0,3352,7162,6536,4843,3369,1729,975,383,206,292,135
2020-10-16,649910.0,7113,14358,11067,33429,19.441502886715128,14.0,6170.0,3581,7619,6977,5443,3939,2050,1316,557,274,531,251
2020-10-17,803254.0,6951,15256,10632,33682,23.848168161035566,16.0,4557.0,3160,5955,6205,5521,4290,2694,1944,896,544,1172,458
2020-10-18,775198.0,5989,15284,9232,31112,24.91636667523785,17.0,2859.0,2640,5231,5768,5015,4269,2540,1849,899,534,1180,580
2020-10-19,524397.0,6247,12002,9775,28872,18.162822111388195,14.0,1604.0,3288,6731,6001,4749,3191,1712,1021,421,252,459,199
2020-10-20,564323.0,6907,13541,10782,32026,17.620776868794106,14.0,1005.0,3452,7337,6958,5178,3625,1993,1197,490,285,531,184
2020-10-21,309452.0,3685,7694,5832,17631,17.551585275934432,12.0,8882.0,2361,4738,3700,2714,1715,930,530,172,90,174,87
2020-10-22,634903.0,6831,13314,10710,31619,20.079793794870174,14.0,7342.0,3530,7362,6841,5157,3491,1858,1190,456,272,459,239
2020-10-23,639189.0,6923,13742,10484,31918,20.025972805313618,14.0,6630.0,3513,7312,6697,5186,3616,1937,1258,502,255,614,259
2020-10-24,595679.0,5196,12204,7965,25920,22.98144290123457,15.0,4492.0,2603,5275,4922,4347,3142,1792,1362,599,397,637,289
2020-10-25,649326.0,5244,13137,8035,27020,24.031310140636567,17.0,3225.0,2367,4878,4961,4395,3414,2112,1630,786,475,996,402
2020-10-26,576277.0,6658,12245,9597,29201,19.734837848018902,14.0,2003.0,3276,6458,5889,4702,3345,1873,1145,542,337,651,282
2020-10-27,343803.0,4830,8655,7126,21100,16.29398104265403,13.0,755.0,2713,5333,4469,3311,2176,1143,700,243,136,305,82
2020-10-28,512929.0,6287,11165,9265,27399,18.72071973429687,14.0,4955.0,3158,6467,5826,4381,3018,1629,1008,404,242,410,174
2020-10-29,398671.0,4890,9023,7340,21714,18.360090264345583,13.0,2490.0,2562,5286,4798,3345,2311,1220,720,286,169,371,185
2020-10-30,608624.0,6450,12589,9416,29095,20.918508334765423,14.0,5693.0,3216,6645,5961,4626,3062,1834,1241,551,337,659,323
2020-10-31,549176.0,5047,10600,6812,22991,23.886564307772606,15.0,4245.0,2557,4831,4546,3520,2585,1475,1129,552,278,675,311
2020-11-01,532833.0,4786,12225,7803,25245,21.106476530005942,15.0,2782.0,2392,5215,4902,4112,3153,1914,1276,597,345,686,222
2020-11-02,457253.0,5921,11413,9392,27340,16.724689100219457,13.0,2273.0,3412,6701,6024,4337,2953,1483,870,356,146,332,112
2020-11-03,447944.0,6262,11539,9612,28098,15.942202291978077,13.0,801.0,3425,7116,6152,4430,2939,1525,967,325,163,283,88
2020-11-04,700790.0,7988,15393,12261,36523,19.187635188785148,14.0,6711.0,3935,8276,8056,6039,4034,2291,1438,558,245,543,227
2020-11-05,397077.0,3983,8839,6325,19531,20.330602631713685,14.0,6955.0,2178,4352,4164,3181,2189,1269,718,325,201,394,176
2020-11-06,461619.0,4201,10217,6693,21613,21.358395410169805,15.0,5616.0,2322,4488,4297,3534,2627,1467,908,386,264,559,259
2020-11-07,1340775.0,7214,20405,11475,39859,33.637948769412176,21.0,4842.0,2326,4736,5822,6136,5817,3892,3111,1668,1197,2852,1537
2020-11-08,974274.0,5500,16200,8586,30826,31.60559268150263,20.0,3573.0,1861,3986,4650,4864,4430,2997,2257,1186,828,2170,1057
2020-11-09,428614.0,4092,8871,6208,19719,21.73609209391957,15.0,1848.0,1983,4167,4047,3242,2330,1296,753,357,213,528,255
2020-11-10,500821.0,5077,10726,8008,24389,20.534708270121776,15.0,741.0,2393,4882,4738,4149,3014,1715,1087,491,307,747,288
2020-11-11,532305.0,5055,10067,7685,23399,22.749049104662593,15.0,9514.0,2401,4954,4662,3917,2858,1552,953,409,266,589,246
2020-11-12,572019.0,5320,11548,8087,25541,22.39610821815904,15.0,7165.0,2504,5100,5042,4178,3147,1882,1046,591,336,793,336
2020-11-13,614519.0,5310,11695,7873,25445,24.150874435056004,15.0,5823.0,2487,5194,4940,4044,3030,1860,1161,574,371,808,409
2020-11-14,445604.0,2902,7799,4263,15221,29.27560607056041,16.0,5279.0,1458,2785,2771,2388,1913,1152,887,395,269,587,359
2020-11-15,631016.0,4066,11826,6026,22362,28.218227349968696,19.0,2748.0,1662,3263,3625,3465,3074,2030,1495,842,587,1388,487
2020-11-16,376122.0,4044,8244,6144,18897,19.90379425305604,14.0,2358.0,2065,4189,3762,3066,2269,1202,750,313,220,438,158
2020-11-17,458600.0,5114,9942,7474,23110,19.844223279965384,15.0,1191.0,2263,4979,4528,3868,2896,1506,964,425,274,574,253
2020-11-18,461874.0,4815,10026,7378,22740,20.31108179419525,15.0,5624.0,2355,4890,4725,3808,2704,1475,887,416,245,474,240
2020-11-19,396794.0,4548,8560,6622,20221,19.62286731615647,14.0,3657.0,2228,4404,4233,3293,2380,1302,807,336,204,361,182
2020-11-20,356019.0,3727,8191,5728,18028,19.74811404481917,14.0,3912.0,2066,4172,3577,2916,2094,1134,643,299,191,397,157
2020-11-21,1033234.0,7568,16286,10303,34803,29.688072867281555,19.0,3840.0,2396,4860,5367,5633,4963,3084,2499,1302,911,2074,1068
2020-11-22,1087410.0,7038,17198,9880,34791,31.255497111321894,21.0,2908.0,2056,4296,5140,5442,5171,3476,2647,1355,946,2386,1201
