,driving,transit,walking
2020-06-29,81.79,43.61,49.55
2020-06-30,83.32,42.79,48.58
2020-07-01,84.76,43.47,51.01
2020-07-02,85.05,43.29,49.51
2020-07-03,94.29,47.43,57.57
2020-07-04,91.56,50.91,67.33
2020-07-05,84.44,48.68,56.97
2020-07-06,90.15,51.02,57.67
2020-07-07,92.97,50.86,58.11
2020-07-08,88.92,49.03,54.53
2020-07-09,90.6,50.37,55.72
2020-07-10,106.02,56.37,69.06
2020-07-11,102.08,58.84,79.34
2020-07-12,90.09,53.15,60.94
2020-07-13,92.08,54.79,61.49
2020-07-14,94.59,55.14,62.74
2020-07-15,96.05,56.33,63.72
2020-07-16,98.94,57.31,66.0
2020-07-17,112.63,66.2,77.95
2020-07-18,105.9,66.06,86.51
2020-07-19,88.1,54.74,54.74
2020-07-20,99.51,60.56,67.24
2020-07-21,100.38,60.34,69.06
2020-07-22,104.8,61.47,70.85
2020-07-23,104.36,61.78,70.37
2020-07-24,112.84,66.13,77.37
2020-07-25,101.52,64.0,71.84
2020-07-26,92.54,59.57,59.66
2020-07-27,97.11,61.11,60.84
2020-07-28,103.56,63.55,69.64
2020-07-29,107.36,65.72,73.89
2020-07-30,111.12,67.3,75.37
2020-07-31,118.62,71.84,78.69
2020-08-01,110.42,70.88,88.94
2020-08-02,97.15,63.94,66.38
2020-08-03,104.34,67.07,72.24
2020-08-04,106.54,67.67,76.15
2020-08-05,108.54,70.56,79.27
2020-08-06,110.94,70.5,76.13
2020-08-07,117.96,74.41,79.32
2020-08-08,107.31,74.12,88.36
2020-08-09,97.12,65.9,64.89
2020-08-10,107.9,71.63,74.2
2020-08-11,106.88,69.3,75.66
2020-08-12,106.4,68.04,74.17
2020-08-13,109.26,68.66,69.12
2020-08-14,119.45,71.88,75.56
2020-08-15,106.29,71.68,83.58
2020-08-16,93.13,64.36,62.22
2020-08-17,106.34,72.27,74.56
2020-08-18,111.24,73.98,80.83
2020-08-19,109.98,72.56,72.64
2020-08-20,114.33,75.51,83.6
2020-08-21,117.92,77.49,83.14
2020-08-22,114.4,81.13,98.05
2020-08-23,98.36,70.64,69.27
2020-08-24,109.32,76.94,80.94
2020-08-25,110.07,78.02,81.25
2020-08-26,117.51,82.89,94.79
2020-08-27,116.16,74.0,76.09
2020-08-28,128.79,80.93,88.6
2020-08-29,116.75,83.81,100.51
2020-08-30,101.34,76.04,85.02
2020-08-31,108.23,83.39,86.98
2020-09-01,113.89,81.02,85.42
2020-09-02,114.44,82.55,83.79
2020-09-03,113.87,82.17,82.67
2020-09-04,127.19,86.65,93.85
2020-09-05,120.73,88.04,110.03
2020-09-06,106.47,79.68,80.08
2020-09-07,108.85,82.09,80.31
2020-09-08,112.41,82.83,85.2
2020-09-09,114.04,81.07,86.38
2020-09-10,115.22,81.32,87.74
2020-09-11,122.27,86.93,95.21
2020-09-12,124.17,92.73,116.0
2020-09-13,110.17,82.51,86.81
2020-09-14,112.2,83.06,85.79
2020-09-15,115.11,83.16,88.28
2020-09-16,114.63,83.36,89.11
2020-09-17,116.48,84.44,90.62
2020-09-18,124.56,88.49,100.11
2020-09-19,123.57,93.2,121.23
2020-09-20,106.9,82.1,88.82
2020-09-21,103.85,79.03,82.68
2020-09-22,106.02,79.07,85.61
2020-09-23,105.06,76.77,78.64
2020-09-24,104.65,74.67,77.59
2020-09-25,120.22,84.0,89.57
2020-09-26,113.59,85.32,107.97
2020-09-27,95.17,73.91,73.97
2020-09-28,97.89,74.13,75.83
2020-09-29,100.24,74.72,77.08
2020-09-30,101.79,75.83,75.36
2020-10-01,101.58,74.27,78.72
2020-10-02,111.55,78.77,76.5
2020-10-03,106.19,83.45,99.95
2020-10-04,89.34,71.61,61.23
2020-10-05,95.56,72.35,69.69
2020-10-06,97.6,72.59,72.35
2020-10-07,101.26,76.47,79.69
2020-10-08,100.87,74.92,75.52
2020-10-09,112.96,83.01,86.49
2020-10-10,110.04,90.52,109.36
2020-10-11,95.6,77.91,79.11
2020-10-12,94.29,69.02,64.86
2020-10-13,96.19,70.55,66.32
2020-10-14,99.32,72.4,74.73
2020-10-15,101.63,71.33,74.45
2020-10-16,110.26,81.68,89.0
2020-10-17,98.71,78.48,93.09
2020-10-18,88.18,70.35,70.3
2020-10-19,91.25,67.06,66.12
2020-10-20,94.43,68.22,68.84
2020-10-21,93.27,67.63,63.95
2020-10-22,95.32,69.62,72.7
2020-10-23,108.35,77.23,82.54
2020-10-24,99.21,77.92,89.15
2020-10-25,89.08,73.78,72.24
2020-10-26,99.0,73.45,76.21
2020-10-27,99.6,72.86,71.76
2020-10-28,103.18,74.47,78.41
2020-10-29,103.46,74.62,76.18
2020-10-30,114.46,84.29,93.84
2020-10-31,100.41,82.43,92.39
2020-11-01,85.62,69.49,66.27
2020-11-02,94.3,70.1,69.72
2020-11-03,102.52,74.54,78.72
2020-11-04,113.82,77.69,90.46
2020-11-05,70.96,42.21,43.86
2020-11-06,70.95,42.07,47.61
2020-11-07,64.96,41.63,58.68
2020-11-08,56.61,41.48,44.93
2020-11-09,70.53,45.85,47.35
2020-11-10,72.66,45.65,50.01
2020-11-11,73.82,46.05,49.05
2020-11-12,72.27,45.31,50.42
2020-11-13,75.77,47.1,52.87
2020-11-14,64.76,42.87,47.59
2020-11-15,57.54,43.37,41.56
2020-11-16,69.89,45.65,45.86
2020-11-17,72.13,45.76,48.57
2020-11-18,74.51,45.9,48.86
2020-11-19,71.58,44.27,45.9
2020-11-20,77.21,47.17,49.86
2020-11-21,72.28,48.9,60.62
